,Country,Population,Total_Cases,Result
0,Afghanistan,39074280,180122,0.4609733052022968
1,Albania,2877239,276081,9.595344703724647
2,Algeria,43984569,265873,0.6044688081404185
3,Andorra,77287,42894,55.499631244581884
4,Angola,33032075,99527,0.3013041112312805
5,Antigua and Barbuda,98069,8119,8.278864880849197
6,Argentina,45267449,9178795,20.27681082713541
7,Armenia,2964219,422939,14.26814280591279
8,Australia,25550683,7216803,28.245049261501148
9,Austria,9015361,4281585,47.49210819178511
10,Azerbaijan,10154978,792757,7.806585105354241
11,Bahamas,393893,34572,8.77700289164824
12,Bahrain,1711057,583984,34.130014371233685
13,Bangladesh,164972348,1953407,1.1840814680045653
14,Barbados,287437,80038,27.84540612377669
15,Belarus,9448772,982867,10.402060712228002
16,Belgium,11598451,4147568,35.75967170098835
17,Belize,398845,59049,14.804999435871077
18,Benin,12175480,26952,0.22136293599923784
19,Bhutan,773069,59614,7.711342713263629
20,Bolivia,11700207,908525,7.765033558807977
21,Bosnia and Herzegovina,3277152,377829,11.529187538448019
22,Botswana,2359585,307126,13.016102407838668
23,Brazil,212821986,30945384,14.540501468678146
24,Brunei,438202,147872,33.74516775368438
25,Bulgaria,6939018,1164659,16.78420491199187
26,Burkina Faso,20997293,20899,0.09953187775205118
27,Burundi,11948454,41987,0.3514011101352526
28,Cabo Verde,557026,56264,10.100785241622473
29,Cambodia,16758448,136262,0.8130943867833107
30,Cameroon,26655083,119947,0.4499967229514911
31,Canada,37799407,3880850,10.266960008129228
32,Central African Republic,4843954,14649,0.30241823105669463
33,Chad,16502877,7417,0.044943678608281454
34,Chile,19144605,3684585,19.246074808020328
35,China,1440297825,2420327,0.16804350864030498
36,Colombia,50976248,6103455,11.973135017704715
37,Comoros,872695,8120,0.9304510739720063
38,Costa Rica,5102158,891038,17.46394368814137
39,Croatia,4100719,1136229,27.708043394341335
40,Cuba,11325391,1105227,9.758841880161135
41,Cyprus,1208886,489963,40.53012442860617
42,Denmark,5795780,3182007,54.902135691830956
43,Djibouti,990447,15675,1.5826187569854822
44,Dominica,72017,14184,19.69534970909646
45,Dominican Republic,10866667,583159,5.366493700414304
46,Ecuador,17688599,876665,4.956101950188367
47,Egypt,102659126,515645,0.502288515489602
48,El Salvador,6491923,162755,2.5070383613607246
49,Equatorial Guinea,1410419,15915,1.1283880889296019
50,Eritrea,3554797,9757,0.274474182351341
51,Estonia,1326693,576047,43.419766291071106
52,Eswatini,1162233,72390,6.228527326276229
53,Ethiopia,115434444,472232,0.40909106817372465
54,Fiji,897573,64941,7.235177528735824
55,Finland,5542237,1092193,19.706717702617194
56,France,65298930,29655398,45.41482992140913
57,Gabon,2234448,47622,2.131264634486907
58,Gambia,2427782,12002,0.49436069630634055
59,Georgia,3987805,1655221,41.50706967868288
60,Germany,83830972,26243352,31.305078986797387
61,Ghana,31181428,161370,0.5175195953180849
62,Greece,10413936,3442963,33.06111157203194
63,Grenada,112614,17662,15.683662777274584
64,Guatemala,17971382,860006,4.785419396237863
65,Guinea,13191279,36661,0.2779184641610567
66,Guinea-Bissau,1975718,8260,0.41807585900416966
67,Guyana,787215,64521,8.196109068043674
68,Haiti,11426356,30781,0.2693859704703757
69,Holy See,801,29,3.620474406991261
70,Honduras,9931333,425113,4.280523067749314
71,Hungary,9655983,1917777,19.861022953333702
72,Iceland,341628,187949,55.01568958047935
73,India,1382345085,43153043,3.1217272349906753
74,Indonesia,274021604,6054173,2.209377987583782
75,Iran,84176929,7231387,8.590699477763081
76,Iraq,40372771,2327837,5.7658588755277655
77,Ireland,4947267,1561632,31.565549221418614
78,Israel,8678517,4133701,47.63142135920227
79,Italy,60446035,17373741,28.742565165771417
80,Jamaica,2963429,135663,4.577906202578162
81,Japan,126407422,8784188,6.949107782611056
82,Jordan,10220604,1696668,16.600467056545778
83,Kazakhstan,18815231,1394867,7.413499201790294
84,Kenya,53968739,324686,0.6016186518643691
85,Kiribati,119760,3098,2.5868403473613895
86,Kuwait,4281320,632781,14.780044472265564
87,Kyrgyzstan,6542426,200993,3.07214785463374
88,Laos,7293542,209950,2.87857394939249
89,Latvia,1882408,828077,43.99030390861067
90,Lebanon,6819976,1099065,16.11537929165733
91,Lesotho,2145194,33358,1.5550108754732672
92,Liberia,5077411,7455,0.1468267981457479
93,Libya,6887247,501987,7.288645230815738
94,Liechtenstein,38147,17428,45.68642357197159
95,Lithuania,2715340,1062296,39.12202523440895
96,Luxembourg,627704,244182,38.90081949453883
97,Madagascar,27808395,64314,0.23127548353653635
98,Malawi,19211425,85964,0.44746290293406144
99,Malaysia,32436963,4502579,13.881012843280057
100,Maldives,542151,179662,33.138738100639856
101,Mali,20346106,31088,0.1527958224536921
102,Malta,441750,94513,21.39513299377476
103,Marshall Islands,59259,17,0.0286876255083616
104,Mauritania,4669775,59112,1.2658425727149596
105,Mauritius,1272140,225862,17.75449243007845
106,Mexico,129166028,5759773,4.45920114536618
107,Micronesia,115231,30,0.026034660811760722
108,Moldova,4032294,518793,12.865951738638104
109,Monaco,39290,12124,30.857724611860526
110,Mongolia,3287242,924035,28.109734543425763
111,Montenegro,628080,237042,37.740733664501334
112,Morocco,36985624,1167732,3.1572591556113805
113,Mozambique,31398811,225701,0.7188202126507275
114,Namibia,2548663,165797,6.505253931178818
115,Nepal,29225196,979118,3.350252980339294
116,Netherlands,17141544,8267309,48.22966355889528
117,New Zealand,4829021,1153681,23.890577406890547
118,Nicaragua,6638075,18491,0.27855967279670685
119,Niger,24346468,9031,0.03709367617512322
120,Nigeria,206984347,256028,0.12369437772026307
121,North Macedonia,2083359,311701,14.961463674767527
122,Norway,5428594,1432831,26.39414551907916
123,Oman,5128058,389473,7.594941398868733
124,Pakistan,221612785,1530285,0.6905219840994282
125,Palau,18109,5043,27.848031365619306
126,Panama,4326296,850484,19.658479216401282
127,Papua New Guinea,8975531,44425,0.4949567886289959
128,Paraguay,7147553,650661,9.103269328677941
129,Peru,33050211,3579534,10.830593486982579
130,Philippines,109830324,3690055,3.359777942565297
131,Poland,37839255,6007073,15.875241201234008
132,Portugal,10191409,4606051,45.195428816565006
133,Qatar,2889284,368087,12.73973067375862
134,Romania,19214608,2908313,15.135947608194765
135,Russia,145945524,18052544,12.369371464930984
136,Rwanda,13005303,130026,0.9997921617051138
137,Saint Lucia,183774,25538,13.896416250394505
138,Samoa,198643,13380,6.735701736280664
139,San Marino,33944,17083,50.327009191609704
140,Saudi Arabia,34905942,766196,2.1950302902583174
141,Senegal,16816539,86101,0.5120019047914675
142,Serbia,8731081,2016793,23.099006869825168
143,Seychelles,98453,43959,44.649731343889975
144,Sierra Leone,8004158,7682,0.09597511693297409
145,Singapore,5858322,1293369,22.077465185423403
146,Slovakia,5460109,2542191,46.55934524384037
147,Slovenia,2078989,1024482,49.27789420723246
148,Solomon Islands,689671,18174,2.6351695228594503
149,Somalia,15965848,26535,0.1661985006997436
150,South Africa,59436725,3952193,6.649412463422236
151,South Sudan,11216250,17590,0.15682603365652512
152,Spain,46757980,12326264,26.361840267693342
153,Sri Lanka,21428970,663812,3.0977317155234245
154,Sudan,44019263,62251,0.14141763345742522
155,Suriname,587541,80416,13.686874618111759
156,Sweden,10110233,2507948,24.806035627467736
157,Switzerland,8665615,3668054,42.32883644149896
158,Syria,17571053,55885,0.3180515134750319
159,Tajikistan,9573310,17786,0.18578736090234205
160,Tanzania,60012400,35354,0.05891115836060548
161,Thailand,69830779,4442648,6.362019819369335
162,Timor-Leste,1322667,22912,1.7322576279592672
163,Togo,8310934,37079,0.4461472080033363
164,Tonga,105901,11636,10.987620513498456
165,Trinidad and Tobago,1400283,160886,11.489534615502723
166,Tunisia,11839918,1042362,8.803794080330624
167,Turkey,84495243,15070000,17.835323581470735
168,US,331341050,83980356,25.345593611174948
169,Uganda,45974931,164366,0.3575122276964374
170,Ukraine,43686577,5040518,11.537910145718214
171,United Arab Emirates,9910892,907069,9.15224381417939
172,United Kingdom,67948282,22463260,33.059349462286626
173,Uruguay,3475842,916388,26.36448952512801
174,Uzbekistan,33551824,238983,0.7122802027096947
175,Vanuatu,308337,8924,2.8942358523304046
176,Venezuela,28421581,523593,1.8422374181084438
177,Vietnam,97490013,10716361,10.992265433383418
178,Yemen,29935468,11819,0.039481594207914174
179,Zambia,18468257,321503,1.7408410550058946
180,Zimbabwe,14899771,251959,1.6910259895940682
